timestamp,telemetry_uid,session_id,session,event_name,hostsubdomain_from,source,srclevel,level
2023-08-28 13:59:21,7a7f6e30-7cbccb30-7abb3190-2023a00,4d5c11c01d40ca506003e8405c483a20,1,menu:Apps,,Login,0,1
2023-08-28 13:59:22,7a7f6e30-7cbccb30-7abb3190-2023a00,4d5c11c01d40ca506003e8405c483a20,1,menu:Recent Projects,,Login,0,1
2023-08-28 13:59:23,7a7f6e30-7cbccb30-7abb3190-2023a00,4d5c11c01d40ca506003e8405c483a20,1,menu:Apps,,Login,0,1
2023-08-28 13:59:27,7a7f6e30-7cbccb30-7abb3190-2023a00,4d5c11c01d40ca506003e8405c483a20,1,bot open event,,Login,0,1
2023-08-28 13:59:29,7a7f6e30-7cbccb30-7abb3190-2023a00,4d5c11c01d40ca506003e8405c483a20,1,minimize bot event,,Login,0,1
2023-08-28 21:18:50,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Login,abarr75,,,0
2023-08-28 21:19:50,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Login,0,3
2023-08-28 21:19:50,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Comments & Attachments,3,3
2023-08-28 21:19:52,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Comments & Attachments,3,3
2023-08-28 21:19:52,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Tasks,3,3
2023-08-28 21:19:54,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Tasks,3,3
2023-08-28 21:19:54,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Comments & Attachments,3,3
2023-08-28 21:19:59,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Comments & Attachments,3,3
2023-08-28 21:19:59,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Tasks,3,3
2023-08-28 21:20:00,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Tasks,3,3
2023-08-28 21:20:00,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Comments & Attachments,3,3
2023-08-28 21:20:08,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Activity Log,,Segment tab Comments & Attachments,3,3
2023-08-28 21:20:08,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Activity Log,,Segment tab Activity Log,3,3
2023-08-28 21:20:12,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab System Fields,,Segment tab Activity Log,3,3
2023-08-28 21:20:12,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab System Fields,,Segment tab System Fields,3,3
2023-08-28 21:20:15,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Details,,Segment tab System Fields,3,3
2023-08-28 21:20:15,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Details,,Segment tab Details,3,3
2023-08-28 21:20:19,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Details,3,3
2023-08-28 21:20:19,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Tasks,,Segment tab Tasks,3,3
2023-08-28 21:22:29,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Tasks,3,3
2023-08-28 21:22:29,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Segment tab Comments & Attachments,,Segment tab Comments & Attachments,3,3
2023-08-28 21:22:52,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,left-panel-add,,Segment tab Comments & Attachments,3,3
2023-08-28 21:23:05,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,ExecutionBoard: Options,,left-panel-add,3,3
2023-08-28 21:23:05,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,icon-options,,ExecutionBoard: Options,3,3
2023-08-28 21:23:09,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Timeline lane,,icon-options,3,3
2023-08-28 21:23:13,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,More,,Timeline lane,3,3
2023-08-28 21:23:14,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,Dependency,,More,3,3
2023-08-28 21:23:22,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Analytics,,Login,0,1
2023-08-28 21:24:14,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:AI-Powered Auto-fill Fields,,menu:Recent Projects,1,2
2023-08-28 21:25:15,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:AI-Powered Similar Workitems,,menu:Recent Projects,1,2
2023-08-28 21:25:21,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:AI-Powered Similar Workitems,,menu:Recent Projects,1,2
2023-08-28 21:25:26,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:AI-Powered Similar Workitems,,menu:Recent Projects,1,2
2023-08-28 21:25:46,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Calendar,,menu:Recent Projects,1,2
2023-08-28 21:25:57,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Project Health,,menu:Recent Projects,1,2
2023-08-28 21:26:09,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Apps,,Login,0,1
2023-08-28 21:26:11,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Portfolio Management,,menu:Recent Projects,1,2
2023-08-28 21:26:11,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Apps,,Login,0,1
2023-08-28 21:51:18,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:Recent Projects,,Login,0,1
2023-08-28 22:01:58,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,menu:User Requirements,,menu:Recent Projects,1,2
2023-08-28 22:02:01,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,UsrReq List Toolbar Add Btn,,menu:User Requirements,2,3
2023-08-28 22:02:01,7a7f6e30-7cbccb30-7abb3190-2023a00,5d9b39d0197a2fd0438dfd101650a720,2,UsrReq toolbar-item: Add,,UsrReq List Toolbar Add Btn,3,3
